date,home_team,away_team,home_score,away_score,tournament,neutral,home_form,home_avg_scored,home_avg_conceded,away_form,away_avg_scored,away_avg_conceded,home_elo,away_elo,elo_diff,result
1934-04-29,Belgium,Netherlands,2.0,4.0,FIFA World Cup qualification,False,-3.3493159199115166,1.8,5.0,0.697468864558527,2.6,1.8,1588,1658,-70,L
1934-05-10,Netherlands,France,4.0,5.0,Friendly,False,2.2032547459893554,3.4,1.8,0.07634105159349522,1.6,1.4,1658,1599,59,L
1934-05-24,Mexico,United States,2.0,4.0,FIFA World Cup qualification,True,-6.489580260459421,2.0,5.0,-0.40699470849535124,2.5,2.5,1498,1761,-263,L
1934-05-27,Argentina,Sweden,2.0,3.0,FIFA World Cup,True,0.9321644194574147,1.6,0.8,-0.8389243425111799,1.8,2.8,2062,1722,340,L
1934-05-27,Austria,France,3.0,2.0,FIFA World Cup,True,1.6097207961003006,2.8,1.0,-0.2907105060681084,2.0,2.2,2000,1599,401,W
1934-05-27,Belgium,Germany,2.0,5.0,FIFA World Cup,True,-4.720854998540162,1.8,5.6,1.3015794771683524,3.0,1.6,1588,1779,-191,L
1934-05-27,Brazil,Spain,1.0,3.0,FIFA World Cup,True,0.7466296655846787,2.75,1.5,5.016528854711873,3.0,1.8,1934,1910,24,L
1934-05-27,Netherlands,Switzerland,2.0,3.0,FIFA World Cup,True,1.6389691092108116,3.6,2.6,-1.296497952062284,1.2,2.4,1658,1607,51,L
1934-05-31,Germany,Sweden,2.0,1.0,FIFA World Cup,True,4.508376344105016,4.0,1.6,0.6831106017588214,2.2,2.4,1779,1722,57,W
1934-06-07,Austria,Germany,2.0,3.0,FIFA World Cup,True,1.7986826250445713,2.6,1.4,5.5258631153433955,3.8,1.2,2000,1779,221,L
1934-07-01,Sweden,Norway,3.0,3.0,Nordic Championship,False,-0.13170604024914923,1.8,2.0,0.30524603137151396,2.0,1.4,1722,1713,9,D
1934-07-18,Uruguay,Argentina,2.0,2.0,Friendly,False,-0.6016289375580246,1.0,1.6,-0.5514045615096724,1.6,1.4,1972,2062,-90,D
1934-08-15,Argentina,Uruguay,1.0,0.0,Friendly,False,-0.31836345664531873,2.0,1.6,-0.8453057926443822,1.2,2.0,2062,1972,90,W
1934-11-04,Switzerland,Netherlands,2.0,4.0,Friendly,False,-0.31682718161325163,1.2,2.2,0.8770948683079274,3.8,2.8,1607,1658,-51,L
1934-11-11,Austria,Switzerland,3.0,0.0,Central European International Cup,False,0.18453026635176895,2.2,1.8,0.2381226299704221,1.6,2.2,2000,1607,393,W
1935-01-24,Spain,France,2.0,0.0,Friendly,False,8.528926278027448,3.4,0.6,-1.6886026102468303,2.2,2.8,1969,1627,342,W
1935-01-27,Argentina,Uruguay,0.0,3.0,Copa América,True,0.12290200256537909,2.0,1.2,-0.9539086199112893,1.0,1.8,2018,1964,54,L
1935-01-27,Germany,Switzerland,4.0,0.0,Friendly,False,5.288095010380374,2.8,1.4,0.3278174568426556,1.6,2.4,1878,1624,254,W
1935-02-17,Netherlands,Germany,2.0,3.0,Friendly,False,1.4002556042280558,4.6,3.0,6.0557598264041275,3.2,1.0,1687,1878,-191,L
1935-03-17,France,Germany,1.0,3.0,Friendly,False,-1.4335809549236684,2.0,2.4,5.871288647553592,3.4,1.4,1627,1878,-251,L
1935-03-31,Netherlands,Belgium,4.0,2.0,Friendly,False,0.09418547696596838,3.2,3.0,-7.467123880864053,2.0,5.8,1687,1529,158,W
1935-04-06,Scotland,England,2.0,0.0,British Home Championship,False,-0.21578755450421383,1.4,2.0,1.7967327375038706,3.2,1.2,1870,2032,-162,W
1935-04-14,Belgium,France,1.0,1.0,Friendly,False,-6.312317756759356,2.2,5.0,-2.058135842960235,1.6,2.6,1529,1627,-98,D
1935-04-28,Belgium,Germany,1.0,6.0,Friendly,False,-6.1200470277460175,2.0,4.6,3.545486424006257,3.0,1.2,1529,1878,-349,L
1935-05-05,Portugal,Spain,3.0,3.0,Friendly,False,-7.7306541363648185,0.8,3.4,8.320347398673706,3.2,0.6,1673,1969,-296,D
1935-05-12,Belgium,Netherlands,0.0,2.0,Friendly,False,-6.033542925940385,1.6,4.0,-0.6285728381204345,3.2,3.0,1529,1687,-158,L
1935-05-12,Germany,Spain,1.0,2.0,Friendly,False,3.41135779620654,3.8,1.2,8.512618127687043,3.8,1.0,1878,1969,-91,L
1935-05-18,Netherlands,England,0.0,1.0,Friendly,False,-0.0749229515638945,2.8,2.0,1.3444770030637685,2.4,1.0,1687,2032,-345,L
1935-05-19,United States,Scotland,1.0,5.0,Friendly,False,0.7475750656044119,2.8,2.4,0.38454145802667683,1.8,1.4,1758,1870,-112,L
1935-05-30,Belgium,Switzerland,2.0,2.0,Friendly,False,-5.236098009295021,1.2,3.6,-0.7521838907006141,1.4,3.2,1529,1624,-95,D
1935-06-09,United States,Scotland,1.0,4.0,Friendly,False,-2.8467176344205956,2.4,3.4,0.8310066173459101,2.2,1.4,1758,1870,-112,L
1935-06-27,Norway,Germany,1.0,1.0,Friendly,False,0.31127295649731623,2.2,1.6,2.0223288172128218,3.4,1.2,1741,1878,-137,D
1935-06-30,Sweden,Germany,3.0,1.0,Friendly,False,-0.0063223626319690585,1.8,1.8,1.2546640011890682,2.8,1.4,1756,1878,-122,W
